id,poop_id,extraction_date,extraction_observer_id,extraction_volume,weigh_date,weigh_observer_id,hair,contaminants_removed,mass_g,extra,box_id
1667,A0408,NA,NA,1000,2015-11-19,NA,FALSE,NA,0.05,NA,48
1668,A0410,NA,NA,1000,NA,NA,NA,NA,0.053,NA,NA
1669,A0411,NA,NA,1000,2015-11-11,NA,FALSE,bract and grass removed,0.049,NA,48
1670,A0414,NA,NA,1000,NA,NA,NA,NA,0.053,NA,28
1671,A0415,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1672,A0420,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.048,NA,48
1673,A0421,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
1674,A0423,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.048,NA,48
1675,A0424,NA,NA,1000,NA,NA,NA,NA,0.053,NA,27
1676,A0426,NA,NA,1000,2017-04-01,NA,FALSE,bracts removed,0.052,NA,NA
1677,A0427,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.05,NA,NA
1678,A0430,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.05,NA,48
1679,A0431,NA,NA,1000,2017-04-01,NA,NA,NA,NA,NA,NA
1680,A0435,NA,NA,1000,NA,NA,NA,NA,0.056,NA,43
1681,A0438,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.051,NA,NA
1682,A0439,NA,NA,1000,2015-11-11,NA,FALSE,leaves removed,0.052,NA,48
1683,A0441,NA,NA,1000,NA,NA,NA,NA,0.053,NA,5
1684,A0448,NA,NA,1000,NA,NA,NA,NA,0.052,NA,NA
1685,A0449,NA,NA,1000,2015-11-12,NA,FALSE,bracts removed,0.049,NA,48
1686,A0451,NA,NA,1000,NA,NA,NA,NA,0.056,NA,1
1687,A0454,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.048,NA,48
1688,A0460,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.048,NA,48
1689,A0463,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.051,NA,NA
1690,A0464,NA,NA,1000,NA,NA,NA,NA,0.052,NA,9
1691,A0469,NA,NA,1000,NA,NA,NA,NA,0.063,NA,27
1692,A0476,NA,NA,1000,NA,NA,NA,NA,0.052,NA,37
1693,A0495,NA,NA,1000,NA,NA,NA,NA,0.053,NA,9
1694,A0497,NA,NA,1000,NA,NA,NA,NA,0.055,NA,NA
1695,A0501,NA,NA,1000,2015-11-24,NA,FALSE,NA,0.053,NA,50
1696,A0505,NA,NA,1000,NA,NA,NA,NA,0.04,NA,4
1697,A0508,NA,NA,1000,NA,NA,NA,NA,0.054,NA,26
1698,A0512,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.049,NA,48
1699,A0514,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.052,NA,48
1700,A0515,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.05,NA,NA
1701,A0517,NA,NA,1000,2015-11-19,NA,FALSE,"bark, bract removed",0.048,NA,6
1702,A0518,NA,NA,1000,NA,NA,NA,NA,0.053,NA,8
