poop_id,lab,observer_id,date,dilution,volume_used,concentration,cv,plate_id,is_rerun,hormone,protocol_id
C0082,Boonstra,BJD,2011-05-21,9,10,10.965,5.6,T.2011.29,NA,Testosterone,TB910
C0089,Boonstra,BJD,2011-05-21,9,10,12.332,2.8,T.2011.29,NA,Testosterone,TB910
C0091,Boonstra,BJD,2011-05-26,9,10,28.226,7.5,T.2011.39,NA,Testosterone,TB910
C0093,Boonstra,BJD,2011-05-21,9,10,15.205,3.2,T.2011.29,NA,Testosterone,TB910
C0095,Boonstra,BJD,2011-05-21,9,10,21.628,3.2,T.2011.33,NA,Testosterone,TB910
C0096,Boonstra,BJD,2011-05-21,9,10,44.167,13.1,T.2011.31,NA,Testosterone,TB910
C0098,Boonstra,BJD,2011-05-26,9,10,15.565,13.6,T.2011.39,NA,Testosterone,TB910
C0103,Boonstra,BJD,2011-05-21,9,10,8.49,9.7,T.2011.29,NA,Testosterone,TB910
C0113,Boonstra,BJD,2011-05-31,9,10,25.347,7.9,T.2011.45,NA,Testosterone,TB910
C0114,Boonstra,BJD,2011-05-25,9,10,21.737,0,T.2011.38,NA,Testosterone,TB910
C0115,Boonstra,BJD,2011-05-21,9,10,20.209,0.8,T.2011.29,NA,Testosterone,TB910
C0121,Boonstra,BJD,2011-05-21,9,10,19.245,1.9,T.2011.33,NA,Testosterone,TB910
C0124,Boonstra,BJD,2011-05-25,9,10,9.197,5,T.2011.36,NA,Testosterone,TB910
C0126,Boonstra,BJD,2011-05-20,9,10,56.06,10,T.2011.28,NA,Testosterone,TB910
C0127,Boonstra,BJD,2011-05-26,9,10,52.162,0,T.2011.40,NA,Testosterone,TB910
C0131,Boonstra,BJD,2011-05-24,9,10,18.109,14.6,T.2011.34,NA,Testosterone,TB910
C0133,Boonstra,BJD,2011-05-21,9,10,12.373,2.1,T.2011.29,NA,Testosterone,TB910
C0135,Boonstra,BJD,2011-05-21,9,10,15.913,3,T.2011.33,NA,Testosterone,TB910
C0140,Boonstra,BJD,2011-05-25,9,10,35.881,47.9,T.2011.37,NA,Testosterone,TB910
C0143,Boonstra,BJD,2011-05-26,9,10,18.953,41,T.2011.40,NA,Testosterone,TB910
C0144,Boonstra,BJD,2011-05-30,9,10,20.845,1.4,T.2011.43,NA,Testosterone,TB910
C0151,Boonstra,BJD,2011-05-21,9,10,11.891,0.3,T.2011.32,NA,Testosterone,TB910
C0153,Boonstra,BJD,2011-05-20,9,10,17.644,9.1,T.2011.28,NA,Testosterone,TB910
C0156,Boonstra,BJD,2011-05-31,9,10,35.659,4.4,T.2011.45,NA,Testosterone,TB910
C0160,Boonstra,BJD,2011-05-24,9,10,37.002,0,T.2011.34,NA,Testosterone,TB910
C0167,Boonstra,BJD,2011-05-21,9,10,25.004,1.9,T.2011.29,NA,Testosterone,TB910
C0168,Boonstra,BJD,2011-05-24,9,10,14.106,4.3,T.2011.34,NA,Testosterone,TB910
C0170,Boonstra,BJD,2011-05-26,9,10,17.143,0,T.2011.39,NA,Testosterone,TB910
C0175,Boonstra,BJD,2011-05-25,9,10,22.987,0,T.2011.35,NA,Testosterone,TB910
C0176,Boonstra,BJD,2011-05-31,9,10,38.29,10.9,T.2011.44,NA,Testosterone,TB910
C0178,Boonstra,BJD,2011-05-25,9,10,26.648,6,T.2011.37,NA,Testosterone,TB910
C0180,Boonstra,BJD,2011-05-25,9,10,22.419,11.8,T.2011.38,NA,Testosterone,TB910
C0182,Boonstra,BJD,2011-05-25,9,10,34.649,0.2,T.2011.35,NA,Testosterone,TB910
C0183,Boonstra,BJD,2011-05-20,9,10,15.911,0,T.2011.28,NA,Testosterone,TB910
C0192,Boonstra,BJD,2011-05-25,9,10,13.468,0,T.2011.36,NA,Testosterone,TB910
C0199,Boonstra,BJD,2011-05-25,9,10,41.508,11,T.2011.35,NA,Testosterone,TB910
C0200,Boonstra,BJD,2011-05-25,9,10,12.706,5.4,T.2011.38,NA,Testosterone,TB910
C0206,Boonstra,BJD,2011-05-21,9,10,11.858,1.6,T.2011.31,NA,Testosterone,TB910
